(0, 0)
(0, 0)
(0, 0)
(0, 0)
(0, 0)
(0, 0)
(841.0432336317749, 2405.069122739047)
(841.0432336317749, 2405.069122739047)
(841.0432336317749, 2405.069122739047)
(841.0432336317749, 2405.069122739047)
(841.0432336317749, 2405.069122739047)
(841.0432336317749, 2405.069122739047)
(749.1197803545829, 2176.436096128857)
(749.1197803545829, 2176.436096128857)
(749.1197803545829, 2176.436096128857)
(749.1197803545829, 2176.436096128857)
(749.1197803545829, 2176.436096128857)
(749.1197803545829, 2176.436096128857)
(776.7140672167934, 2190.7318333674207)
(776.7140672167934, 2190.7318333674207)
(776.7140672167934, 2190.7318333674207)
(776.7140672167934, 2190.7318333674207)
(776.7140672167934, 2190.7318333674207)
(776.7140672167934, 2190.7318333674207)
(749.296822755622, 2174.0644249592074)
(749.296822755622, 2174.0644249592074)
(749.296822755622, 2174.0644249592074)
(749.296822755622, 2174.0644249592074)
(749.296822755622, 2174.0644249592074)
(749.296822755622, 2174.0644249592074)
(836.92251905195, 2390.8556237184407)
(836.92251905195, 2390.8556237184407)
(836.92251905195, 2390.8556237184407)
(836.92251905195, 2390.8556237184407)
(836.92251905195, 2390.8556237184407)
(836.92251905195, 2390.8556237184407)
(762.1732053741403, 2204.377051851274)
(762.1732053741403, 2204.377051851274)
(762.1732053741403, 2204.377051851274)
(762.1732053741403, 2204.377051851274)
(762.1732053741403, 2204.377051851274)
(762.1732053741403, 2204.377051851274)
(842.6738943819839, 2409.755936285022)
(842.6738943819839, 2409.755936285022)
(842.6738943819839, 2409.755936285022)
(842.6738943819839, 2409.755936285022)
(842.6738943819839, 2409.755936285022)
(842.6738943819839, 2409.755936285022)
(837.9629146788953, 2398.5622670441708)
(837.9629146788953, 2398.5622670441708)
(837.9629146788953, 2398.5622670441708)
(837.9629146788953, 2398.5622670441708)
(837.9629146788953, 2398.5622670441708)
(837.9629146788953, 2398.5622670441708)
(838.6055491527925, 2395.706680746535)
(838.6055491527925, 2395.706680746535)
(838.6055491527925, 2395.706680746535)
(838.6055491527925, 2395.706680746535)
(838.6055491527925, 2395.706680746535)
(838.6055491527925, 2395.706680746535)
(838.6055491527925, 2395.706680746535)
(838.6055491527925, 2395.706680746535)
(838.6055491527925, 2395.706680746535)
(838.6055491527925, 2395.706680746535)
(838.6055491527925, 2395.706680746535)
(838.6055491527925, 2395.706680746535)
(840.4955233857572, 2403.4949045578737)
(840.4955233857572, 2403.4949045578737)
(840.4955233857572, 2403.4949045578737)
(840.4955233857572, 2403.4949045578737)
(840.4955233857572, 2403.4949045578737)
(840.4955233857572, 2403.4949045578737)
(736.4843316776728, 2147.175585555055)
(736.4843316776728, 2147.175585555055)
